"alciphron_gb" "anacreon_gb" "cash_corn_gb" "corruption_gb" "epistles_gb" "evenings_gb" "fables_holy_gb" "fudges_england_gb" "fudges_paris_gb" "intercepted_gb" "lalla_gb" "little_gb" "loves_angels_gb" "melodies_gb" "national_gb" "sacred_gb" "sceptic_gb" "summerfete_gb" "tom_crib_gb"
"was" 0.505406676069582 0.350711539758549 0.35356804939993 0.45938609313009 0.411370708295976 0.513992004568818 0.482743063388225 0.468477052564713 0.469851213782302 0.435076138324207 0.554144908094987 0.78397212543554 0.733096085409253 0.453769779708346 0.448681996634885 0.333778371161549 0.233644859813084 0.392349190779794 0.421094846601163
"he" 0.199811941701928 0.532811762325487 0.667297445346347 0.313217790770516 0.38236379937767 0.399771559109081 0.39251071509136 0.619342544068604 0.584302150472863 0.442577451053934 0.595665852217378 0.562851782363977 0.313167259786477 0.426621160409556 0.358945597307908 0.433911882510013 0.467289719626168 0.326957658983162 0.507987433995054
"when" 0.340855665256229 0.431644972010521 0.408346197898511 0.501148465232825 0.495754443331048 0.494955263658862 0.460184976314009 0.301730983007782 0.397566411661948 0.202535443702648 0.463118222903592 0.569552398820692 0.604982206405694 0.802823456407074 0.975883342680875 0.634178905206943 0.272585669781931 0.392349190779794 0.207205400708509
"so" 0.282087447108604 0.263033654818911 0.557741148349186 0.689079139695135 0.46147355097305 0.409289929564059 0.397022332506204 0.55582023185644 0.572254683452804 0.577601080189033 0.381673294048132 0.515947467166979 0.590747330960854 0.473161650636053 0.628154795288839 0.400534045393858 0.311526479750779 0.555828020271375 0.367622485127999
"be" 0.293841090738129 0.411411613947528 0.517902494895673 0.480267279181458 0.440377617214282 0.276032743194365 0.415068802165576 0.500238208670796 0.512017348352509 0.645112894756582 0.322585796643191 0.636558563387832 0.441281138790036 0.511945392491468 0.515984296130118 0.734312416555407 0.7398753894081 0.490436488474743 0.360938439943854
"at" 0.552421250587682 0.215822486005261 0.458144514715403 0.292336604719148 0.403459733136438 0.342661336379212 0.631626438078051 0.643163411148166 0.584302150472863 0.600105018378216 0.456730385346301 0.355132672205843 0.320284697508897 0.383959044368601 0.325294447560292 0.133511348464619 0.661993769470405 0.441392839627268 0.461199117706036
"their" 0.552421250587682 0.229311391380589 0.268910910811215 0.835247442054709 0.326986973260904 0.751951265943271 0.667719377396797 0.262029537875179 0.349376543581712 0.480084014702573 0.565323623820246 0.120611096220852 0.597864768683274 0.298634812286689 0.336511497476164 0.417222963951936 0.155763239875389 0.506784371423901 0.300782033286545
"not" 0.376116596144805 0.418156066635193 0.313729395946417 0.250574232616413 0.498391435050894 0.380734818199124 0.473719828558538 0.389074162299508 0.385518944641889 0.390068261945841 0.370494578322873 0.562851782363977 0.483985765124555 0.434377908780639 0.448681996634885 0.433911882510013 0.817757009345794 0.261566127186529 0.287413942918254
"like" 0.599435825105783 0.215822486005261 0.408346197898511 0.250574232616413 0.31643900638152 0.466400152293927 0.541394089781187 0.214387803716055 0.409613878682007 0.225039381891831 0.402433766109328 0.328330206378987 0.419928825622776 0.477040024821595 0.785193494111049 0.534045393858478 0.116822429906542 0.572175903220533 0.314150123654836
"who" 0.470145745181006 0.296755918257233 0.453164683033713 0.208811860513677 0.31643900638152 0.485436893203884 0.41958041958042 0.349372717166905 0.524064815372568 0.352561698297202 0.416806400613232 0.261324041811847 0.291814946619217 0.395594166925225 0.403813796971397 0.634178905206943 0.58411214953271 0.245218244237371 0.260677762181672
"or" 0.446638457921956 0.229311391380589 0.418305861261889 0.292336604719148 0.385000791097516 0.342661336379212 0.383487480261674 0.333492139113864 0.301186675501476 0.420073512864751 0.427985116338492 0.274725274725275 0.498220640569395 0.352932050884269 0.291643297812675 0.166889185580774 0.545171339563863 0.359653424881478 0.474567208074327
"they" 0.434884814292431 0.242800296755918 0.348588217718241 0.334098976821883 0.340171931860134 0.523510375023796 0.509812767877284 0.230268381769096 0.204806939341004 0.390068261945841 0.517414842140564 0.174216027874564 0.391459074733096 0.438256282966181 0.235558048233315 0.300400534045394 0.311526479750779 0.245218244237371 0.227257536260945
"one" 0.211565585331453 0.141633506440952 0.348588217718241 0.146168302359574 0.32962396498075 0.256996002284409 0.27972027972028 0.444656185485152 0.349376543581712 0.285049883729653 0.373688497101519 0.241222192441705 0.405693950177936 0.333540179956562 0.560852495793606 0.100133511348465 0.389408099688474 0.277914010135687 0.2940979881024
"me" 0.376116596144805 0.627234099952789 0.23405208903939 0.104405930256839 0.466747534412742 0.0761469636398249 0.15339499210467 0.397014451326028 0.24697307391121 0.345060385567474 0.154905060764305 0.763870276065398 0.462633451957295 0.403350915296308 0.729108244531688 0.283711615487316 0.0778816199376947 0.114435180644107 0.0668404518414544
"had" 0.270333803479079 0.128144601065624 0.229072257357701 0.27145541866778 0.32962396498075 0.466400152293927 0.338371306113242 0.309671272034302 0.307210409011505 0.345060385567474 0.399239847330682 0.241222192441705 0.498220640569395 0.221067328575861 0.168255748738082 0.150200267022697 0.272585669781931 0.294261893084846 0.227257536260945
"o" 0.446638457921956 0.303500370944898 0.199193267267566 0.146168302359574 0.345445915299826 0.637730820483533 0.225580870742161 0.27791011592822 0.162640804770797 0.120021003675643 0.249125664734346 0.274725274725275 0.284697508896797 0.542972385975799 0.706674144699944 0.517356475300401 0.116822429906542 0.294261893084846 0.0668404518414544
"thy" 0.0352609308885755 0.370944897821542 0.209152930630945 0.229693046565045 0.363904857338748 0.180849038644584 0.257162192646064 0.0158805780530411 0.150593337750738 0.217538069162103 0.234753030230441 0.482444384883409 0.128113879003559 0.6554452373565 0.538418395961862 1.46862483311081 0.116822429906542 0.261566127186529 0.0467883162890181
"if" 0.340855665256229 0.141633506440952 0.343608386036552 0.208811860513677 0.295343072622752 0.228440890919475 0.338371306113242 0.27791011592822 0.349376543581712 0.337559072837747 0.261901339848928 0.482444384883409 0.234875444839858 0.329661805771021 0.314077397644419 0.100133511348465 0.155763239875389 0.294261893084846 0.2205734910768
"no" 0.176304654442877 0.269778107506576 0.29878990090135 0.396742534975987 0.271610147144138 0.266514372739387 0.329348071283555 0.325551850087343 0.277091741461358 0.375065636486385 0.226768233283828 0.428839453229697 0.170818505338078 0.306391560657772 0.538418395961862 0.450600801068091 0.428348909657321 0.277914010135687 0.200521355524363
"are" 0.164551010813352 0.249544749443583 0.313729395946417 0.229693046565045 0.253151205105216 0.171330668189606 0.293255131964809 0.254089248848658 0.259020540931269 0.300052509189108 0.340152349925741 0.221120343071563 0.185053380782918 0.368445547626435 0.415030846887269 0.483978638184246 0.506230529595016 0.179826712440739 0.240625626629236
"its" 0.41137752703338 0.269778107506576 0.129475623723918 0.334098976821883 0.361267865618902 0.323624595469256 0.360929393187458 0.119104335397808 0.132522137220649 0.0975170654864601 0.351331065651 0.227820959528277 0.405693950177936 0.364567173440894 0.224340998317443 0.333778371161549 0.311526479750779 0.34330554193232 0.100260677762182
"now" 0.293841090738129 0.290011465569569 0.29381006921966 0.167049488410942 0.255788196825062 0.580620597753665 0.248138957816377 0.293790693981261 0.240949340401181 0.255044632810742 0.297034446414028 0.214419726614849 0.170818505338078 0.240459199503568 0.52720134604599 0.150200267022697 0.155763239875389 0.653915317966323 0.187153265156072
"love" 0.117536436295252 0.539556215013152 0.0597579801802699 0.0417623721027354 0.398185749696746 0.285551113649343 0.225580870742161 0.0714626012386851 0.12047467020059 0.0300052509189108 0.15809897954295 0.629857946931118 0.412811387900356 0.508067018305926 0.987100392596747 0.417222963951936 0.0389408099688473 0.326957658983162 0.0267361807365818
"have" 0.188058298072402 0.296755918257233 0.283850405856282 0.396742534975987 0.337534940140288 0.0666285931848467 0.338371306113242 0.246148959822138 0.25299680742124 0.412572200135024 0.237946949009087 0.442240686143125 0.220640569395018 0.263729444616817 0.15703869882221 0.100133511348465 0.350467289719626 0.114435180644107 0.401042711048727
"we" 0.117536436295252 0.283267012881905 0.348588217718241 0.146168302359574 0.268973155424292 0.209404150009518 0.27972027972028 0.269969826901699 0.409613878682007 0.277548570999925 0.0910266851913956 0.375234521575985 0.128113879003559 0.554607508532423 0.52720134604599 0.317089452603471 0.311526479750779 0.277914010135687 0.260677762181672
"some" 0.399623883403855 0.249544749443583 0.268910910811215 0.0835247442054709 0.22414429618691 0.399771559109081 0.333859688698398 0.325551850087343 0.301186675501476 0.270047258270197 0.258707421070282 0.180916644331278 0.206405693950178 0.248215947874651 0.302860347728547 0.166889185580774 0.233644859813084 0.261566127186529 0.213889445892654
"she" 0.329102021626704 0.128144601065624 0.0647378118619591 0.104405930256839 0.258425188544908 0.304587854559299 0.212046018497631 0.198507225663014 0.0481898680802361 0.0975170654864601 0.448745588399687 0.388635754489413 0.512455516014235 0.228824076946944 0.269209197980931 0.233644859813084 0.233644859813084 0.376001307830636 0.0200521355524363
"oh" 0.188058298072402 0.215822486005261 0.17927394054081 0.125287116308206 0.424555666895206 0.247477631829431 0.0947439657117077 0.0714626012386851 0.204806939341004 0.157527567324282 0.180456410993468 0.482444384883409 0.234875444839858 0.562364256903506 0.515984296130118 0.467289719626168 0.0389408099688473 0.228870361288213 0.0735244970255999
"thee" 0.0705218617771509 0.357455992446213 0.144415118768986 0.104405930256839 0.345445915299826 0.171330668189606 0.13986013986014 0 0.108427203180531 0.0825144400270047 0.170874654657532 0.509246850710265 0.142348754448399 0.624418243872169 0.751542344363432 0.734312416555407 0.0389408099688473 0.588523786169691 0.0334202259207272
"there" 0.340855665256229 0.242800296755918 0.134455455405607 0.146168302359574 0.300617056062444 0.323624595469256 0.26618542747575 0.198507225663014 0.216854406361063 0.19503413097292 0.2810648525208 0.294827124095417 0.284697508896797 0.248215947874651 0.314077397644419 0.350467289719626 0.467289719626168 0.212522478339055 0.167101129603636
"where" 0.493653032440056 0.148377959128617 0.154374782132364 0.104405930256839 0.366541849058594 0.323624595469256 0.25265057523122 0.150865491503891 0.204806939341004 0.105018378216188 0.242737827177055 0.174216027874564 0.277580071174377 0.399472541110766 0.235558048233315 0.367156208277704 0.155763239875389 0.408697073728952 0.0735244970255999
"while" 0.36436295251528 0.364200445133877 0.144415118768986 0.396742534975987 0.245240229945678 0.580620597753665 0.203022783667945 0.262029537875179 0.150593337750738 0.187532818243193 0.182053370382791 0.261324041811847 0.206405693950178 0.310269934843314 0.560852495793606 0.133511348464619 0.311526479750779 0.392349190779794 0.167101129603636
"light" 0.41137752703338 0.114655695690295 0.0398386534535133 0.208811860513677 0.239966246505986 0.50447363411384 0.234604105571848 0.0873431792917262 0.0542136015902656 0.0450078763783662 0.255513502291637 0.10050924685071 0.590747330960854 0.403350915296308 0.392596747055524 0.617489986648865 0.194704049844237 0.42504495667811 0.0267361807365818
"those" 0.317348377997179 0.10791124300263 0.144415118768986 0.27145541866778 0.22414429618691 0.256996002284409 0.311301601624182 0.119104335397808 0.12047467020059 0.142524941864826 0.32737667481116 0.247922808898419 0.306049822064057 0.240459199503568 0.515984296130118 0.367156208277704 0.233644859813084 0.179826712440739 0.0467883162890181
"thou" 0.246826516220028 0.33722263438322 0.323689059309795 0.187930674462309 0.255788196825062 0.323624595469256 0.135348522445297 0.0635223122121645 0.0662610686103247 0.172530192783737 0.2107986393906 0.335030822835701 0.0925266903914591 0.302513186472231 0.74032529444756 0.634178905206943 0.0778816199376947 0.212522478339055 0.0668404518414544
"you" 0.0352609308885755 0.155122411816281 0.4133260295802 0.0626435581541031 0.340171931860134 0.085665334094803 0.0902323482968644 0.452596474511672 0.578278416962834 0.615107643837672 0.041520944122391 0.670061645671402 0.0355871886120996 0.224945702761402 0.100953449242849 0.0834445927903872 0 0.130783063593265 0.173785174787782
"such" 0.211565585331453 0.101166790314966 0.29878990090135 0.292336604719148 0.205685354147988 0.247477631829431 0.329348071283555 0.27791011592822 0.301186675501476 0.367564323756657 0.186844248550759 0.207719110158135 0.298932384341637 0.16289171579274 0.168255748738082 0.0333778371161549 0.194704049844237 0.359653424881478 0.240625626629236
"were" 0.164551010813352 0.155122411816281 0.199193267267566 0.229693046565045 0.295343072622752 0.209404150009518 0.248138957816377 0.150865491503891 0.222878139871092 0.202535443702648 0.241140867787732 0.314928973465559 0.241992882562278 0.213310580204778 0.224340998317443 0.267022696929239 0.116822429906542 0.130783063593265 0.187153265156072
"our" 0.340855665256229 0.222566938692925 0.348588217718241 0.208811860513677 0.150308528031222 0.19988577955454 0.162418226934356 0.198507225663014 0.234925606891151 0.285049883729653 0.094220603970041 0.368533905119271 0.0427046263345196 0.488675147378219 0.493550196298374 0.350467289719626 0.350467289719626 0.228870361288213 0.140364948867054
"him" 0.0940291490362012 0.296755918257233 0.338628554354863 0.0835247442054709 0.187226412109066 0.161812297734628 0.162418226934356 0.190566936636494 0.283115474971387 0.180031505513465 0.276273974352832 0.13401232913428 0.120996441281139 0.252094322060192 0.291643297812675 0.200267022696929 0.194704049844237 0.0653915317966323 0.2940979881024
"then" 0.211565585331453 0.283267012881905 0.154374782132364 0.208811860513677 0.203048362428142 0.180849038644584 0.171441461764042 0.190566936636494 0.289139208481417 0.187532818243193 0.156502020153627 0.475743768426695 0.270462633451957 0.329661805771021 0.605720695457095 0.166889185580774 0.0778816199376947 0.0490436488474743 0.0735244970255999
"more" 0.176304654442877 0.242800296755918 0.144415118768986 0.375861348924619 0.226781287906756 0.171330668189606 0.216557635912475 0.293790693981261 0.180712005300885 0.217538069162103 0.174068573436178 0.348432055749129 0.177935943060498 0.224945702761402 0.358945597307908 0.300400534045394 0.506230529595016 0.163478829491581 0.126996858498763
"still" 0.329102021626704 0.175355769879274 0.169314277177431 0.187930674462309 0.2636991719846 0.295069484104321 0.171441461764042 0.174686358583452 0.0783085356303837 0.142524941864826 0.170874654657532 0.261324041811847 0.334519572953737 0.279242941358982 0.437464946719013 0.133511348464619 0.116822429906542 0.228870361288213 0.0534723614731636
"whose" 0.305594734367654 0.202333580629932 0.144415118768986 0.27145541866778 0.150308528031222 0.276032743194365 0.189487931423415 0.0635223122121645 0.138545870730679 0.0900157527567324 0.293840527635382 0.107209863307424 0.441281138790036 0.166770089978281 0.168255748738082 0.200267022696929 0.155763239875389 0.179826712440739 0.0868925873938908
"what" 0.105782792665726 0.101166790314966 0.303769732583039 0.167049488410942 0.17140446178999 0.209404150009518 0.27972027972028 0.373193584246467 0.385518944641889 0.165028880054009 0.132547629313787 0.194317877244707 0.177935943060498 0.159013341607198 0.257992148065059 0.166889185580774 0.0778816199376947 0.196174595389897 0.140364948867054
"shall" 0.0470145745181006 0.209078033317596 0.109556296997161 0.167049488410942 0.218870312747218 0.15229392727965 0.0992555831265509 0.0873431792917262 0.150593337750738 0.187532818243193 0.148517223207014 0.341731439292415 0.0427046263345196 0.368445547626435 0.224340998317443 1.36849132176235 0 0.114435180644107 0.0267361807365818
"upon" 0.164551010813352 0.242800296755918 0.11951596036054 0.334098976821883 0.271610147144138 0.0951837045497811 0.148883374689826 0.0873431792917262 0.0963797361604723 0.187532818243193 0.266692218016896 0.180916644331278 0.249110320284698 0.112472851380701 0.0785193494111049 0.200267022696929 0.194704049844237 0.0980872976949485 0.1470489940512
"them" 0.164551010813352 0.155122411816281 0.229072257357701 0.0417623721027354 0.137123569431992 0.15229392727965 0.207534401082788 0.0794028902652057 0.277091741461358 0.232540694621559 0.204410801833309 0.194317877244707 0.142348754448399 0.267607818802358 0.168255748738082 0.166889185580774 0.311526479750779 0.147130946542423 0.0935766325780362
"how" 0.176304654442877 0.128144601065624 0.229072257357701 0.187930674462309 0.187226412109066 0.133257186369693 0.198511166253102 0.27791011592822 0.259020540931269 0.225039381891831 0.111787157252591 0.187617260787992 0.163701067615658 0.209432206019237 0.314077397644419 0.200267022696929 0.272585669781931 0.130783063593265 0.1470489940512
"yet" 0.258580159849553 0.0876778849396371 0.0796773069070265 0.354980162873251 0.297980064342598 0.171330668189606 0.166929844349199 0.14292520247737 0.150593337750738 0.112519690945916 0.177262492214823 0.201018493701421 0.277580071174377 0.201675457648154 0.224340998317443 0.0667556742323097 0.0778816199376947 0.179826712440739 0.0802085422097453
"can" 0.199811941701928 0.236055844068254 0.164334445495742 0.146168302359574 0.176678445229682 0.0951837045497811 0.198511166253102 0.254089248848658 0.228901873381122 0.19503413097292 0.12296587297785 0.301527740552131 0.0854092526690391 0.236580825318027 0.112170499158721 0.133511348464619 0.233644859813084 0.147130946542423 0.0935766325780362
"may" 0.152797367183827 0.175355769879274 0.189233603904188 0.187930674462309 0.187226412109066 0.085665334094803 0.130836905030453 0.214387803716055 0.150593337750738 0.120021003675643 0.094220603970041 0.194317877244707 0.0782918149466192 0.376202295997518 0.415030846887269 0.183578104138852 0.428348909657321 0.114435180644107 0.133680903682909
"heart" 0.188058298072402 0.215822486005261 0.0647378118619591 0.104405930256839 0.232055271346448 0.171330668189606 0.117302052785924 0.0476417341591234 0.0602373351002952 0.0675118145675493 0.170874654657532 0.455641919056553 0.192170818505338 0.263729444616817 0.302860347728547 0.100133511348465 0 0.130783063593265 0.060156406657309
"would" 0.129290079924777 0.121400148377959 0.189233603904188 0.167049488410942 0.195137387268604 0.133257186369693 0.189487931423415 0.14292520247737 0.289139208481417 0.255044632810742 0.142129385649723 0.187617260787992 0.163701067615658 0.174526838349364 0.145821648906338 0.0834445927903872 0.272585669781931 0.0653915317966323 0.160417084419491
"too" 0.117536436295252 0.141633506440952 0.129475623723918 0.187930674462309 0.152945519751068 0.0951837045497811 0.198511166253102 0.150865491503891 0.198783205830974 0.240042007351286 0.167680735878887 0.0871080139372822 0.370106761565836 0.159013341607198 0.325294447560292 0.0500667556742323 0.0778816199376947 0.179826712440739 0.126996858498763
"an" 0.0470145745181006 0.229311391380589 0.209152930630945 0.27145541866778 0.174041453509836 0.104702075004759 0.144371757274983 0.230268381769096 0.210830672851033 0.232540694621559 0.162889857710918 0.174216027874564 0.120996441281139 0.104716103009618 0.0673022994952328 0.100133511348465 0.194704049844237 0.0653915317966323 0.227257536260945
"even" 0.235072872590503 0.0876778849396371 0.17927394054081 0.250574232616413 0.108116660513686 0.218922520464496 0.212046018497631 0.238208670795617 0.108427203180531 0.157527567324282 0.153308101374982 0.0536049316537121 0.405693950177936 0.124107973937325 0.145821648906338 0.116822429906542 0.311526479750779 0.163478829491581 0.0467883162890181
"eyes" 0.164551010813352 0.114655695690295 0.0199193267267566 0.0417623721027354 0.166130478350298 0.133257186369693 0.148883374689826 0.0397014451326028 0.0421661345702066 0.0300052509189108 0.234753030230441 0.127311712677566 0.298932384341637 0.221067328575861 0.269209197980931 0.300400534045394 0.155763239875389 0.196174595389897 0.0668404518414544
"tho" 0.164551010813352 0 0.219112593994323 0.229693046565045 0.002636991719846 0.15229392727965 0.175953079178886 0.333492139113864 0.24697307391121 0.217538069162103 0.154905060764305 0 0.320284697508897 0.248215947874651 0.37016264722378 0.0834445927903872 0 0.228870361288213 0
"bright" 0.223319228960978 0.0876778849396371 0.0348588217718241 0.0835247442054709 0.18458942038922 0.285551113649343 0.189487931423415 0.0317611561060823 0.0481898680802361 0.0450078763783662 0.110190197863268 0.107209863307424 0.348754448398576 0.255972696245734 0.392596747055524 0.333778371161549 0.0389408099688473 0.326957658983162 0.0534723614731636
"thro" 0.399623883403855 0.0067444526876644 0.159354613814053 0.0417623721027354 0.010547966879384 0.266514372739387 0.198511166253102 0.111164046371288 0.102403469670502 0.120021003675643 0.199619923665341 0 0.313167259786477 0.255972696245734 0.190689848569826 0.317089452603471 0.155763239875389 0.294261893084846 0
"every" 0.105782792665726 0.202333580629932 0.109556296997161 0.125287116308206 0.271610147144138 0.114220445459737 0.12632528761561 0.0952834683182468 0.156617071260767 0.0900157527567324 0.159695938932273 0.154114178504422 0.128113879003559 0.127986348122867 0.089736399326977 0.150200267022697 0.0778816199376947 0.196174595389897 0.113628768130473
"will" 0.0940291490362012 0.141633506440952 0.194213435585877 0.125287116308206 0.094931701914456 0.104702075004759 0.0857207308820212 0.293790693981261 0.192759472320945 0.255044632810742 0.103802360305977 0.381935138032699 0.0782918149466192 0.170648464163823 0.201906898485698 0.0667556742323097 0.155763239875389 0.196174595389897 0.153733039235345
